team_id,sport,name,abbrev,conference,division,external_ids,venue_name,venue_lat,venue_lon,timezone
cfb-colorado-state,CFB,Colorado State Rams,CSU,Pac-12,,{},Canvas Stadium,40.5679,-105.0888,America/Denver
cfb-fresno-state,CFB,Fresno State Bulldogs,FRES,Pac-12,,{},Valley Children's Stadium,36.8130,-119.7590,America/Los_Angeles
cfb-oregon-state,CFB,Oregon State Beavers,ORST,Pac-12,,{},Reser Stadium,44.5596,-123.2814,America/Los_Angeles
cfb-san-diego-state,CFB,San Diego State Aztecs,SDSU,Pac-12,,{},Snapdragon Stadium,32.7831,-117.1196,America/Los_Angeles
cfb-texas-state,CFB,Texas State Bobcats,TXST,Pac-12,,{},UFCU Stadium,29.8900,-97.9250,America/Chicago
cfb-utah-state,CFB,Utah State Aggies,USU,Pac-12,,{},Maverik Stadium,41.7513,-111.8122,America/Denver
cfb-washington-state,CFB,Washington State Cougars,WSU,Pac-12,,{},Martin Stadium,46.7320,-117.1600,America/Los_Angeles
cfb-air-force,CFB,Air Force Falcons,AFA,Mountain West,,{},Falcon Stadium,38.9970,-104.8436,America/Denver
cfb-hawaii,CFB,Hawai'i Rainbow Warriors,HAW,Mountain West,,{},Clarence T.C. Ching Athletics Complex,21.2970,-157.8170,Pacific/Honolulu
cfb-nevada,CFB,Nevada Wolf Pack,NEV,Mountain West,,{},Mackay Stadium,39.5470,-119.8180,America/Los_Angeles
cfb-new-mexico,CFB,New Mexico Lobos,UNM,Mountain West,,{},University Stadium,35.0670,-106.6280,America/Denver
cfb-northern-illinois,CFB,Northern Illinois Huskies,NIU,Mountain West,,{},Huskie Stadium,41.9340,-88.7780,America/Chicago
cfb-san-jose-state,CFB,San Jose State Spartans,SJSU,Mountain West,,{},CEFCU Stadium,37.3200,-121.8680,America/Los_Angeles
cfb-unlv,CFB,UNLV Rebels,UNLV,Mountain West,,{},Allegiant Stadium,36.0909,-115.1833,America/Los_Angeles
cfb-utep,CFB,UTEP Miners,UTEP,Mountain West,,{},Sun Bowl,31.7740,-106.5100,America/Denver
cfb-wyoming,CFB,Wyoming Cowboys,WYO,Mountain West,,{},War Memorial Stadium,41.3110,-105.5690,America/Denver
cfb-army,CFB,Army Black Knights,ARMY,American,,{},Michie Stadium,41.3890,-73.9640,America/New_York
cfb-charlotte,CFB,Charlotte 49ers,CLT,American,,{},Jerry Richardson Stadium,35.3100,-80.7400,America/New_York
cfb-east-carolina,CFB,East Carolina Pirates,ECU,American,,{},Dowdy-Ficklen Stadium,35.5960,-77.3650,America/New_York
cfb-florida-atlantic,CFB,Florida Atlantic Owls,FAU,American,,{},FAU Stadium,26.3750,-80.1010,America/New_York
cfb-memphis,CFB,Memphis Tigers,MEM,American,,{},Simmons Bank Liberty Stadium,35.1210,-89.9770,America/Chicago
cfb-navy,CFB,Navy Midshipmen,NAVY,American,,{},Navy-Marine Corps Memorial Stadium,38.9850,-76.5070,America/New_York
cfb-north-texas,CFB,North Texas Mean Green,UNT,American,,{},DATCU Stadium,33.2040,-97.1590,America/Chicago
cfb-rice,CFB,Rice Owls,RICE,American,,{},Rice Stadium,29.7160,-95.4090,America/Chicago
cfb-south-florida,CFB,South Florida Bulls,USF,American,,{},Raymond James Stadium,27.9759,-82.5033,America/New_York
cfb-temple,CFB,Temple Owls,TEM,American,,{},Lincoln Financial Field,39.9008,-75.1675,America/New_York
cfb-tulane,CFB,Tulane Green Wave,TULN,American,,{},Yulman Stadium,29.9450,-90.1170,America/Chicago
cfb-tulsa,CFB,Tulsa Golden Hurricane,TLSA,American,,{},H.A. Chapman Stadium,36.1460,-95.9450,America/Chicago
cfb-uab,CFB,UAB Blazers,UAB,American,,{},Protective Stadium,33.5310,-86.8020,America/Chicago
cfb-utsa,CFB,UTSA Roadrunners,UTSA,American,,{},Alamodome,29.4170,-98.4790,America/Chicago
cfb-delaware,CFB,Delaware Blue Hens,DEL,Conference USA,,{},Delaware Stadium,39.6600,-75.7470,America/New_York
cfb-fiu,CFB,FIU Panthers,FIU,Conference USA,,{},Pitbull Stadium,25.7520,-80.3770,America/New_York
cfb-jacksonville-state,CFB,Jacksonville State Gamecocks,JVST,Conference USA,,{},AmFirst Stadium at Burgess-Snow Field,33.8200,-85.7660,America/Chicago
cfb-kennesaw-state,CFB,Kennesaw State Owls,KENN,Conference USA,,{},Fifth Third Stadium,34.0290,-84.5660,America/New_York
cfb-liberty,CFB,Liberty Flames,LIB,Conference USA,,{},Williams Stadium,37.3520,-79.1710,America/New_York
cfb-louisiana-tech,CFB,Louisiana Tech Bulldogs,LT,Conference USA,,{},Joe Aillet Stadium,32.5360,-92.6560,America/Chicago
cfb-middle-tennessee,CFB,Middle Tennessee Blue Raiders,MTSU,Conference USA,,{},Johnny 'Red' Floyd Stadium,35.8510,-86.3680,America/Chicago
cfb-missouri-state,CFB,Missouri State Bears,MOST,Conference USA,,{},Robert W. Plaster Stadium,37.2030,-93.2810,America/Chicago
cfb-new-mexico-state,CFB,New Mexico State Aggies,NMSU,Conference USA,,{},Aggie Memorial Stadium,32.2790,-106.7440,America/Denver
cfb-sam-houston,CFB,Sam Houston Bearkats,SHSU,Conference USA,,{},Bowers Stadium,30.7180,-95.5480,America/Chicago
cfb-western-kentucky,CFB,Western Kentucky Hilltoppers,WKU,Conference USA,,{},Houchens Industries-L.T. Smith Stadium,36.9840,-86.4590,America/Chicago
cfb-akron,CFB,Akron Zips,AKR,MAC,,{},InfoCision Stadium,41.0720,-81.5080,America/New_York
cfb-ball-state,CFB,Ball State Cardinals,BALL,MAC,,{},Scheumann Stadium,40.2170,-85.4160,America/Indiana/Indianapolis
cfb-bowling-green,CFB,Bowling Green Falcons,BGSU,MAC,,{},Doyt Perry Stadium,41.3770,-83.6260,America/New_York
cfb-buffalo,CFB,Buffalo Bulls,BUFF,MAC,,{},UB Stadium,43.0000,-78.7800,America/New_York
cfb-central-michigan,CFB,Central Michigan Chippewas,CMU,MAC,,{},Kelly/Shorts Stadium,43.5730,-84.7840,America/Detroit
cfb-eastern-michigan,CFB,Eastern Michigan Eagles,EMU,MAC,,{},Rynearson Stadium,42.2460,-83.6280,America/Detroit
cfb-kent-state,CFB,Kent State Golden Flashes,KENT,MAC,,{},Dix Stadium,41.1390,-81.3310,America/New_York
cfb-miami-oh,CFB,Miami (OH) RedHawks,M-OH,MAC,,{},Yager Stadium,39.5170,-84.7350,America/New_York
cfb-ohio,CFB,Ohio Bobcats,OHIO,MAC,,{},Peden Stadium,39.3200,-82.1060,America/New_York
cfb-toledo,CFB,Toledo Rockets,TOL,MAC,,{},Glass Bowl,41.6570,-83.6130,America/New_York
cfb-umass,CFB,UMass Minutemen,MASS,MAC,,{},Warren McGuirk Alumni Stadium,42.3770,-72.5360,America/New_York
cfb-western-michigan,CFB,Western Michigan Broncos,WMU,MAC,,{},Waldo Stadium,42.2850,-85.6010,America/Detroit
cfb-appalachian-state,CFB,Appalachian State Mountaineers,APP,Sun Belt,,{},Kidd Brewer Stadium,36.2110,-81.6850,America/New_York
cfb-arkansas-state,CFB,Arkansas State Red Wolves,ARST,Sun Belt,,{},Centennial Bank Stadium,35.8490,-90.6670,America/Chicago
cfb-coastal-carolina,CFB,Coastal Carolina Chanticleers,CCU,Sun Belt,,{},Brooks Stadium,33.7930,-79.0120,America/New_York
cfb-georgia-southern,CFB,Georgia Southern Eagles,GASO,Sun Belt,,{},Paulson Stadium,32.4120,-81.7840,America/New_York
cfb-georgia-state,CFB,Georgia State Panthers,GAST,Sun Belt,,{},Center Parc Stadium,33.7350,-84.3890,America/New_York
cfb-james-madison,CFB,James Madison Dukes,JMU,Sun Belt,,{},Bridgeforth Stadium,38.4350,-78.8700,America/New_York
cfb-louisiana,CFB,Louisiana Ragin' Cajuns,ULL,Sun Belt,,{},Cajun Field,30.2160,-92.0420,America/Chicago
cfb-ul-monroe,CFB,UL Monroe Warhawks,ULM,Sun Belt,,{},Malone Stadium,32.5310,-92.0660,America/Chicago
cfb-marshall,CFB,Marshall Thundering Herd,MRSH,Sun Belt,,{},Joan C. Edwards Stadium,38.4240,-82.4260,America/New_York
cfb-old-dominion,CFB,Old Dominion Monarchs,ODU,Sun Belt,,{},S.B. Ballard Stadium,36.8860,-76.3060,America/New_York
cfb-south-alabama,CFB,South Alabama Jaguars,USA,Sun Belt,,{},Hancock Whitney Stadium,30.6990,-88.1830,America/Chicago
cfb-southern-miss,CFB,Southern Miss Golden Eagles,USM,Sun Belt,,{},M.M. Roberts Stadium,31.3280,-89.3330,America/Chicago
cfb-troy,CFB,Troy Trojans,TROY,Sun Belt,,{},Veterans Memorial Stadium,31.8000,-85.9550,America/Chicago
cfb-notre-dame,CFB,Notre Dame Fighting Irish,ND,FBS Independent,,{},Notre Dame Stadium,41.6980,-86.2340,America/Indiana/Indianapolis
cfb-uconn,CFB,UConn Huskies,CONN,FBS Independent,,{},Pratt & Whitney Stadium at Rentschler Field,41.7600,-72.6520,America/New_York
